epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,854.773,1.0508,0.78898,1.33755,0.8526,0.77953,0.83794,0.50034,1.45531,0.90752,1.67227,0.000177031,0.000177031,0.000177031
91,1704.54,1.03878,0.74329,1.32056,0.87133,0.77306,0.84203,0.49706,1.45602,0.89407,1.6766,0.000174731,0.000174731,0.000174731
92,2554.34,1.03982,0.73376,1.33435,0.82226,0.81795,0.84458,0.49748,1.46401,0.87462,1.683,0.000172424,0.000172424,0.000172424
93,3404.05,1.01793,0.71146,1.31524,0.86941,0.77705,0.84234,0.49901,1.46052,0.86769,1.68608,0.000170112,0.000170112,0.000170112
94,4254.36,1.01418,0.70989,1.3134,0.86214,0.79224,0.84677,0.50113,1.45546,0.85418,1.68526,0.000167796,0.000167796,0.000167796
95,5104.11,0.99772,0.69668,1.29047,0.85057,0.80645,0.84566,0.50155,1.45212,0.85225,1.68384,0.000165475,0.000165475,0.000165475
96,5954.24,0.9925,0.68951,1.29247,0.85002,0.80341,0.84943,0.5039,1.45321,0.85822,1.68748,0.000163151,0.000163151,0.000163151
97,6803.06,0.99097,0.66904,1.28415,0.83454,0.82113,0.84651,0.50426,1.45273,0.8694,1.68463,0.000160824,0.000160824,0.000160824
98,7653.86,0.97472,0.66692,1.2808,0.84463,0.81547,0.84575,0.50501,1.45668,0.87371,1.68589,0.000158495,0.000158495,0.000158495
99,8504.73,0.96571,0.65036,1.2738,0.84663,0.81174,0.84849,0.50747,1.45461,0.87512,1.68464,0.000156164,0.000156164,0.000156164
100,9355.91,0.95775,0.64507,1.26469,0.86403,0.79498,0.85026,0.5078,1.44959,0.87462,1.68513,0.000153833,0.000153833,0.000153833
101,10206.7,0.9726,0.66471,1.28353,0.84877,0.81777,0.85176,0.50916,1.45183,0.87518,1.68895,0.0001515,0.0001515,0.0001515
102,11056.8,0.95268,0.65095,1.26018,0.851,0.8135,0.85021,0.50872,1.44963,0.86737,1.68518,0.000149167,0.000149167,0.000149167
103,11905.2,0.94377,0.62749,1.2512,0.86298,0.8064,0.85096,0.50703,1.44887,0.8627,1.68252,0.000146836,0.000146836,0.000146836
104,12754.6,0.94203,0.62803,1.24651,0.88194,0.78856,0.8536,0.50911,1.44991,0.85787,1.6829,0.000144505,0.000144505,0.000144505
105,13603.3,0.92631,0.6093,1.24089,0.8764,0.79451,0.85393,0.50999,1.45054,0.85132,1.68295,0.000142176,0.000142176,0.000142176
106,14454,0.93417,0.64099,1.24955,0.87469,0.79948,0.85808,0.51196,1.44763,0.8502,1.68109,0.000139849,0.000139849,0.000139849
107,15305,0.91057,0.62649,1.23286,0.84927,0.82275,0.85693,0.51133,1.45237,0.85584,1.68944,0.000137525,0.000137525,0.000137525
108,16154.9,0.93414,0.62217,1.25339,0.85668,0.81677,0.8554,0.50974,1.45072,0.85652,1.6904,0.000135204,0.000135204,0.000135204
109,17003.9,0.91973,0.61314,1.23653,0.85022,0.82333,0.85283,0.51003,1.44813,0.85605,1.68542,0.000132888,0.000132888,0.000132888
110,17853,0.90222,0.60041,1.22392,0.85529,0.81228,0.8535,0.51168,1.44438,0.85006,1.68597,0.000130576,0.000130576,0.000130576
111,18701.9,0.89895,0.60329,1.21645,0.85598,0.81851,0.85199,0.51289,1.44179,0.84966,1.68399,0.000128269,0.000128269,0.000128269
112,19551.7,0.89082,0.59654,1.20943,0.8592,0.81847,0.85388,0.51455,1.44399,0.84661,1.68612,0.000125969,0.000125969,0.000125969
113,20400.5,0.88645,0.5968,1.2122,0.85722,0.81906,0.85395,0.51317,1.44858,0.84451,1.69027,0.000123674,0.000123674,0.000123674
114,21248.7,0.89219,0.58936,1.21335,0.85599,0.82043,0.85507,0.5118,1.45271,0.84307,1.69582,0.000121386,0.000121386,0.000121386
115,22097.7,0.8676,0.56754,1.19948,0.88035,0.79812,0.85485,0.51165,1.45524,0.84056,1.69987,0.000119106,0.000119106,0.000119106
116,22946.6,0.86783,0.5785,1.19906,0.8828,0.79797,0.85522,0.51086,1.45564,0.83606,1.70234,0.000116833,0.000116833,0.000116833
117,23795.9,0.87036,0.57779,1.19686,0.8506,0.82907,0.85594,0.51188,1.45664,0.8367,1.70454,0.00011457,0.00011457,0.00011457
118,24644.5,0.8619,0.57063,1.19285,0.85701,0.82548,0.85693,0.51148,1.45575,0.83819,1.70445,0.000112315,0.000112315,0.000112315
119,25493,0.85339,0.55771,1.18651,0.85699,0.82536,0.85645,0.51077,1.45505,0.83893,1.70547,0.00011007,0.00011007,0.00011007
120,26342,0.84436,0.55244,1.17863,0.85376,0.82663,0.8554,0.51033,1.45742,0.83779,1.70873,0.000107835,0.000107835,0.000107835
121,27190.1,0.84234,0.56065,1.1813,0.85573,0.82702,0.85286,0.5092,1.45862,0.8371,1.71055,0.000105611,0.000105611,0.000105611
122,28038.5,0.84398,0.5556,1.1796,0.87158,0.80842,0.85342,0.509,1.45962,0.83949,1.7123,0.000103398,0.000103398,0.000103398
123,28885.9,0.83552,0.54067,1.17143,0.87855,0.80567,0.85231,0.50993,1.4616,0.83847,1.71468,0.000101197,0.000101197,0.000101197
124,29733.5,0.81015,0.52415,1.15655,0.87561,0.80828,0.85104,0.51,1.46101,0.83769,1.71495,9.9009e-05,9.9009e-05,9.9009e-05
